scenario,propulsion,L,freq,speed,Re,mu,rho
bacteria,Flagella,6.50512608455415e-07,10.24798067736599,1.2287718899919562e-05,7.993316073553577e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,11.583232862547103,1.3887287453576293e-05,9.033855585796074e-06,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,13.09246062927559,1.5694868846400407e-05,1.0209710072637558e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,14.798331982375295,1.7737454803645736e-05,1.153843799167962e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,16.726468435651757,2.0045523222028334e-05,1.3039865599015249e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,18.905829836907586,2.2653483947372043e-05,1.473637693320786e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,21.36914933341561,2.5600180319749264e-05,1.6653240076729077e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,24.15342501085948,2.8929453123381322e-05,1.8818974012479437e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,27.300475589964165,3.269077427474683e-05,2.126576084589274e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,30.85756852716052,3.693995832502401e-05,2.4029908646245695e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,34.878129953107454,4.1739960637061185e-05,2.715237067084102e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,39.422547112067946,4.716177191413358e-05,3.067932726724237e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,44.55907535446155,5.328541959514958e-05,3.466283729348204e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,50.36486330526272,6.020108747064532e-05,3.916156644238209e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,56.9271116058699,6.801036569098689e-05,4.4241600387650544e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,64.34438263328994,7.682764409943472e-05,4.997735116460756e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,72.72808086810285,8.678166248467524e-05,5.645256562900352e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,82.20412614574906,9.801723185450033e-05,6.37614451672502e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,92.91484492271181,0.00011069714111472166,7.200988601509476e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,105.0211079636667,0.0001250042635091541,8.131684952338787e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,118.7047465568134,0.00014114387673373472,9.181587142157132e-05,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,134.17128354799115,0.00015934620965774227,0.00010365671849194137,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,151.65302021262917,0.00017986922692596663,0.00011700719998846954,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,171.41252532913143,0.00020300166021886592,0.00013205513950975432,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,193.74657885819826,0.000229066291441917,0.00014901051075508974,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,218.9906294605915,0.0002584234884249103,0.00016810773754143615,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,247.52383280349636,0.00029147498766965473,0.00018960815452849703,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,279.7747463288545,0.000328667911151061,0.00021380262019846927,0.001,1000.0
bacteria,Flagella,6.50512608455415e-07,316.22776601683796,0.0003704989950662508,0.00024101426771065676,0.001,1000.0
bacteria,Flagella,7.41990894483783e-07,1.0,1.1998928052230822e-06,8.903095358321303e-07,0.001,1000.0
bacteria,Flagella,7.41990894483783e-07,1.13029417474705,1.356216115811554e-06,1.0063000088843367e-06,0.001,1000.0
bacteria,Flagella,7.41990894483783e-07,1.2775649214671148,1.5329030139111171e-06,1.1374000784487968e-06,0.001,1000.0
