scenario,propulsion,L,freq,speed,Re,mu,rho
bacteria,Fin,5.703124619256601e-07,1.0,6.05120307128008e-16,3.4510765211938583e-16,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,1.13029417474705,7.730804776541422e-16,4.408974304775991e-16,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,1.2775649214671148,9.876604997219623e-16,5.6327509114316e-16,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,1.4440241885954521,1.2618004087634405e-15,7.19620497580682e-16,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,1.632172128563275,1.6120319401290045e-15,9.193619044777708e-16,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,1.8448346490995629,2.0594754589933402e-15,1.1745445192939706e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,2.085205857248754,2.631113603032192e-15,1.5005568765513834e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,2.356896033596695,3.3614184436287357e-15,1.917058828148225e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,2.6639858572587722,4.294430289952436e-15,2.4491671112309003e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,3.0110876960681163,5.4864134961287125e-15,3.1289699881193343e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,3.4034148825183075,7.009249427317178e-15,3.997462297144283e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,3.8468600159578585,8.9547711941529e-15,5.107017605718324e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,4.348083467104511,1.1440301557412307e-14,6.524546546379777e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,4.914613414182186,1.4615727960752915e-14,8.335531796132705e-15,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,5.5549589131838335,1.8672541344359682e-14,1.0649183024510446e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,6.2787377005308915,2.3855383816191282e-14,1.3605022674393599e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,7.096820647674755,3.0476801551688784e-14,1.738129972456341e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,8.021495037291361,3.893609258093334e-14,2.2205738817597522e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,9.066649113412797,4.9743386060365764e-14,2.836927296860576e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,10.24798067736599,6.355040510566955e-14,3.624358799218744e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,11.583232862547103,8.118976830794638e-14,4.630353664687884e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,13.09246062927559,1.0372519997214148e-13,5.915577415984342e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,14.798331982375295,1.3251567695635203e-13,7.55753419687226e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,16.726468435651757,1.6929738042354834e-13,9.65524058269189e-14,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,18.905829836907586,2.16288394524819e-13,1.2335196676739797e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,21.36914933341561,2.763224657644026e-13,1.5759014573546535e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,24.15342501085948,3.5301988927235455e-13,2.0133164215964044e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,27.300475589964165,4.5100582711204467e-13,2.572142436030888e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,30.85756852716052,5.761892240914965e-13,3.286078949266573e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,34.878129953107454,7.361191408199369e-13,4.1981791947161985e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,39.422547112067946,9.404399923211034e-13,5.363446473139973e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,44.55907535446155,1.2014731449163583e-12,6.852151072148137e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,50.36486330526272,1.5349599440007213e-12,8.754067846203247e-13,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,56.9271116058699,1.9610109802647983e-12,1.118389000018069e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,64.34438263328994,2.505318838920376e-12,1.4288145549334157e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,72.72808086810285,3.200707465568456e-12,1.8254033545921863e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,82.20412614574906,4.089111581680996e-12,2.332071293237219e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,92.91484492271181,5.224105516382392e-12,2.9793724784074638e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,105.0211079636667,6.674133953221061e-12,3.806341766083142e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,118.7047465568134,8.526639418907012e-12,4.862848718949237e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,134.17128354799115,1.089333541812401e-11,6.212604940892294e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,151.65302021262917,1.391694320557072e-11,7.937006142048626e-12,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,171.41252532913143,1.7779798449570322e-11,1.0140040626316485e-11,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,193.74657885819826,2.271484680353326e-11,1.2954560202787264e-11,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,218.9906294605915,2.901969146225884e-11,1.65502916821639e-11,0.001,1000.0
bacteria,Fin,5.703124619256601e-07,247.52383280349636,3.7074539826949394e-11,2.1144072083468446e-11,0.001,1000.0
