scenario,mu,propulsion,speed,Re,eff,L,freq
bacteria,10.0,Fin,1.3276787066136377e-12,6.638393533068189e-16,0.02,5e-06,50.38461538461539
bacteria,10.0,Flagella,0.05960425700477263,2.9802128502386317e-05,1.1999853646750125,5e-06,50.38461538461539
bacteria,10.0,Fin,1.756243617478859e-12,8.781218087394295e-16,0.02,5e-06,57.94871794871795
bacteria,10.0,Flagella,0.06855247879429333,3.4276239397146667e-05,1.1999829644755549,5e-06,57.94871794871795
bacteria,10.0,Fin,2.244655462642422e-12,1.1223277313212113e-15,0.02,5e-06,65.51282051282051
bacteria,10.0,Flagella,0.077500700583814,3.8750350291907006e-05,1.1999805371994898,5e-06,65.51282051282051
bacteria,10.0,Fin,2.7929142421043087e-12,1.3964571210521546e-15,0.02,5e-06,73.07692307692308
bacteria,10.0,Flagella,0.08644892237333464,4.3224461186667324e-05,1.199978085734369,5e-06,73.07692307692308
bacteria,10.0,Fin,3.401019955864549e-12,1.7005099779322748e-15,0.02,5e-06,80.64102564102564
bacteria,10.0,Flagella,0.09539714416285534,4.769857208142767e-05,1.1999756123895058,5e-06,80.64102564102564
bacteria,10.0,Fin,4.0689726039231376e-12,2.034486301961569e-15,0.02,5e-06,88.2051282051282
bacteria,10.0,Flagella,0.10434536595237578,5.21726829761879e-05,1.1999731190558178,5e-06,88.2051282051282
bacteria,10.0,Fin,4.796772186280061e-12,2.3983860931400303e-15,0.02,5e-06,95.76923076923077
bacteria,10.0,Flagella,0.11329358774189649,5.6646793870948254e-05,1.1999706073113912,5e-06,95.76923076923077
bacteria,10.0,Fin,5.5844187029353035e-12,2.792209351467652e-15,0.02,5e-06,103.33333333333333
bacteria,10.0,Flagella,0.12224180953141724,6.112090476570863e-05,1.1999680784940863,5e-06,103.33333333333333
bacteria,10.0,Fin,6.4319121538888994e-12,3.2159560769444504e-15,0.02,5e-06,110.8974358974359
bacteria,10.0,Flagella,0.1311900313209371,6.559501566046855e-05,1.1999655337531594,5e-06,110.8974358974359
bacteria,10.0,Fin,7.339252539140841e-12,3.6696262695704206e-15,0.02,5e-06,118.46153846153845
bacteria,10.0,Flagella,0.14013825311045774,7.006912655522888e-05,1.1999629740869966,5e-06,118.46153846153845
bacteria,10.0,Fin,8.306439858691086e-12,4.153219929345543e-15,0.02,5e-06,126.02564102564102
bacteria,10.0,Flagella,0.14908647489997862,7.454323744998931e-05,1.1999604003713513,5e-06,126.02564102564102
bacteria,10.0,Fin,9.33347411253969e-12,4.6667370562698455e-15,0.02,5e-06,133.5897435897436
bacteria,10.0,Flagella,0.15803469668949893,7.901734834474947e-05,1.19995781338091,5e-06,133.5897435897436
bacteria,10.0,Fin,1.0420355300686668e-11,5.2101776503433346e-15,0.02,5e-06,141.15384615384616
bacteria,10.0,Flagella,0.16698291847901997,8.349145923950999e-05,1.1999552138060479,5e-06,141.15384615384616
bacteria,10.0,Fin,1.1567083423131909e-11,5.783541711565955e-15,0.02,5e-06,148.7179487179487
bacteria,10.0,Flagella,0.17593114026854034,8.796557013427017e-05,1.1999526022660552,5e-06,148.7179487179487
bacteria,10.0,Fin,1.2773658479875578e-11,6.38682923993779e-15,0.02,5e-06,156.28205128205127
bacteria,10.0,Flagella,0.18487936205806052,9.243968102903026e-05,1.1999499793197164,5e-06,156.28205128205127
bacteria,10.0,Fin,1.4040080470917513e-11,7.020040235458757e-15,0.02,5e-06,163.84615384615384
bacteria,10.0,Flagella,0.19382758384758175,9.691379192379089e-05,1.199947345473877,5e-06,163.84615384615384
bacteria,10.0,Fin,1.5366349396257816e-11,7.68317469812891e-15,0.02,5e-06,171.4102564102564
bacteria,10.0,Flagella,0.20277580563710182,0.00010138790281855091,1.1999447011904558,5e-06,171.4102564102564
