scenario,rho,mu,propulsion,speed,Re
fish,1400.0,0.005011872336272719,Flagella,0.0003264568760419398,9.1191394312053
fish,1400.0,0.007585775750291836,Fin,0.12262459734900862,2263.109824753355
fish,1400.0,0.007585775750291836,Flagella,0.0004870435729335447,8.98867860786328
fish,1400.0,0.01148153621496883,Fin,0.12044685486510756,1468.6675515712632
fish,1400.0,0.01148153621496883,Flagella,0.0007215200506930082,8.797847710076258
fish,1400.0,0.017378008287493744,Fin,0.10499576616505488,845.8625994376039
fish,1400.0,0.017378008287493744,Flagella,0.0010579979465044971,8.523399808551446
fish,1400.0,0.026302679918953815,Fin,0.09945218423318145,529.349322409243
fish,1400.0,0.026302679918953815,Flagella,0.001529012619033766,8.138401384357548
fish,1400.0,0.03981071705534969,Fin,0.09274663591936518,326.1566228676177
fish,1400.0,0.03981071705534969,Flagella,0.002166110688988117,7.617433668343974
fish,1400.0,0.060255958607435746,Fin,0.08475146317630808,196.91338614300852
fish,1400.0,0.060255958607435746,Flagella,0.0029901863275785985,6.9474637120675435
fish,1400.0,0.09120108393559097,Fin,0.07539990544502892,115.74409323642486
fish,1400.0,0.09120108393559097,Flagella,0.004002075957229103,6.143464636974809
fish,1400.0,0.13803842646028838,Fin,0.06472486188631824,65.64462444587058
fish,1400.0,0.13803842646028838,Flagella,0.005186207358616329,5.259905149782083
fish,1400.0,0.2089296130854041,Fin,0.05286271313761766,35.4223593772763
fish,1400.0,0.2089296130854041,Flagella,0.006537919597689374,4.38094308489607
fish,1400.0,0.31622776601683794,Fin,0.03994989839410325,17.686573970473706
fish,1400.0,0.31622776601683794,Flagella,0.008093314043257034,3.5830628674006237
fish,1400.0,0.47863009232263803,Fin,0.02558629279076115,7.484027954289028
fish,1400.0,0.47863009232263803,Flagella,0.00991717419777607,2.9007879152586704
fish,1400.0,0.7244359600749891,Fin,0.005797763670919263,1.1204398437712506
fish,1400.0,0.7244359600749891,Flagella,0.012062834438230877,2.3311885583061187
fish,1400.0,1.096478196143185,Fin,0.00043348909097800867,0.055348544960027765
fish,1400.0,1.096478196143185,Flagella,0.014558045207666901,1.8587933040915798
fish,1400.0,1.6595869074375598,Fin,0.0002864221833206851,0.024162100511391633
fish,1400.0,1.6595869074375598,Flagella,0.017407630521719238,1.468478849838351
fish,1400.0,2.511886431509577,Fin,0.00018923736251775437,0.010547145133692962
fish,1400.0,2.511886431509577,Flagella,0.02058824770839573,1.1474860658581543
fish,1400.0,3.801893963205613,Fin,0.0001580595960545613,0.005820347348399167
fish,1400.0,3.801893963205613,Flagella,0.025050825434688177,0.9224653803598661
fish,1400.0,5.754399373371567,Fin,0.00012636255340088814,0.00307430130032131
fish,1400.0,5.754399373371567,Flagella,0.028645238758217867,0.6969160751525667
fish,1400.0,8.709635899560796,Fin,9.472902283321532e-05,0.0015226885887754409
fish,1400.0,8.709635899560796,Flagella,0.032224074698855576,0.51797463290828
fish,1400.0,13.182567385564074,Fin,6.730588580301946e-05,0.0007147942989270393
fish,1400.0,13.182567385564074,Flagella,0.035610094591967976,0.37818226882988876
fish,1400.0,19.952623149688797,Fin,4.615256313197287e-05,0.00032383505617290126
fish,1400.0,19.952623149688797,Flagella,0.03863530076844594,0.2710892731749307
fish,1.2,1e-05,Fin,0.12026028366363031,1443.1234039635638
fish,1.2,1e-05,Flagella,0.0007324143491925273,8.788972190310327
fish,1.2,1.5135612484362071e-05,Fin,0.10480162808378751,830.900988185848
fish,1.2,1.5135612484362071e-05,Flagella,0.001073464352247312,8.51077037039421
fish,1.2,2.290867652767775e-05,Fin,0.09921598736975265,519.7121915788481
fish,1.2,2.290867652767775e-05,Flagella,0.0015503368190280449,8.120958801727177
fish,1.2,3.467368504525317e-05,Fin,0.09246252203560086,319.997791691053
