Re,Fin_eff,Flagella_eff
0.00021420374903583831,0.02,1.199875438947446
0.0002269288562880081,0.02,1.199867385568403
0.00024040991835099718,0.02,1.199858811566894
0.000254691843897454,0.02,1.1998496832946972
0.0002698222094696536,0.02,1.1998399649299711
0.0002858514179684471,0.02,1.1998296183369914
0.00030283286655749455,0.02,1.19981860291685
0.0003208231245421078,0.02,1.1998068754485458
0.0003398821218152667,0.02,1.199794389919849
0.000360073348498562,0.02,1.1997810973472833
0.0003814640664431178,0.02,1.1997669455845281
0.00040412553329506005,0.02,1.1997518791185051
0.0004281332398719391,0.02,1.1997358388523587
0.0004535671616408702,0.02,1.199718761874492
0.0004805120251361242,0.02,1.1997005812127757
0.0005090575902036681,0.02,1.1996812255729732
0.000539298949012887,0.02,1.199660619060391
0.000571336842831558,0.02,1.1996386808836739
0.0006052779976193349,0.02,1.1996153250396209
0.0006412354795576917,0.02,1.199590459977809
0.0006793290717006695,0.02,1.1995639882437525
0.0007196856730011514,0.02,1.199535806099229
0.0007624397210419138,0.02,1.1995058031183403
0.0008077336398796711,0.02,1.1994738617577665
0.0008557183144940002,0.02,1.1994398568995899
0.0009065535934216359,0.02,1.199403655364966
0.0009604088212505379,0.02,1.1993651153968055
0.0010174634027476062,0.02,1.1993240861095267
0.0010779074004992725,0.02,1.1992804069038199
0.0011419421680558648,0.02,1.1992339068442375
0.0012097810206889014,0.02,1.1991844039972948
0.0012816499459957584,0.02,1.1991317047276329
0.0013577883567189276,0.02,1.1990756029496386
0.0014384498882876629,0.02,1.1990158793317784
0.0015239032437388289,0.02,1.1989523004507288
0.001614433088831602,0.02,1.1988846178922252
0.0017103410003378396,0.02,1.1988125672953716
0.0018119464706671223,0.02,1.1987358673369655
0.001919587972173111,0.02,1.1986542186522031
0.0020336240846866725,0.02,1.1985673026879176
0.002154434690031882,0.02,1.1984747804843023
0.0022824222375040976,0.02,1.1983762913808371
0.0024180130845257207,0.02,1.1982714516419133
0.002561658916945727,0.02,1.1981598529974145
0.002713838253714277,0.02,1.1980410610932497
0.0028750580409448775,0.02,1.197914613846598
0.003045855340674284,0.02,1.1977800197003408
0.0032267991199458083,0.02,1.1976367557708982
0.0034184921461759272,0.02,1.1974842658833995
0.0036215729951180747,0.02,1.1973219584878396
0.003836718178112645,0.02,1.19714920444958
0.0040646443957096275,0.02,1.1969653347072604
0.004306110925171169,0.02,1.1967696377909023
0.0045619221498074585,0.02,1.1965613571926788
0.004832930238571752,0.02,1.1963396885825528
0.005120037984840887,0.02,1.1961037768606908
0.005424201813838024,0.02,1.1958527130382959
0.005746434968715974,0.02,1.1955855309382377
0.0060878108859147625,0.02,1.1953012037066262
0.00644946677103762,0.02,1.1949986401262542
0.006832607387157398,0.02,1.1946766807226563
0.007238509068173248,0.02,1.194334093653378
0.00766852397058701,0.02,1.193969570370961
0.008124084577862966,0.02,1.1935817210500952
0.008606708472376158,0.02,1.1931690697694248
0.009118003390845682,0.02,1.1927300494385904
0.009659672580093832,0.02,1.1922629964612927
0.010233520470972575,0.02,1.1917661451254682
