scenario,rho,mu,propulsion,speed,Re,eff,L,freq
bacteria,1000.0,0.000630957344480193,Flagella,0.0001103014500341274,0.0008740800863883912,1.1994268013158655,5e-06,100.0
bacteria,1000.0,0.0009549925860214359,Fin,5.5551893209254114e-11,2.908498663884244e-10,0.02,5e-06,100.0
bacteria,1000.0,0.0009549925860214359,Flagella,0.00011324765561418926,0.0005929242659672715,1.1996238392194574,5e-06,100.0
bacteria,1000.0,0.001445439770745928,Fin,3.6702772469290837e-11,1.2696057356423143e-10,0.02,5e-06,100.0
bacteria,1000.0,0.001445439770745928,Flagella,0.00011537120991391637,0.0003990868808541859,1.1997552354440837,5e-06,100.0
bacteria,1000.0,0.002187761623949552,Fin,2.4249281467654193e-11,5.5420300827558e-11,0.02,5e-06,100.0
bacteria,1000.0,0.002187761623949552,Flagella,0.00011686295730684626,0.00026708338794213403,1.1998417276309044,5e-06,100.0
bacteria,1000.0,0.003311311214825911,Fin,1.602134143460323e-11,2.4191838814289068e-11,0.02,5e-06,100.0
bacteria,1000.0,0.003311311214825911,Flagella,0.00011789119627710336,0.00017801286050864504,1.1998981118491026,5e-06,100.0
bacteria,1000.0,0.005011872336272719,Fin,1.0585195328564409e-11,1.0560120667834604e-11,0.02,5e-06,100.0
bacteria,1000.0,0.005011872336272719,Flagella,0.00011859042388161904,0.00011830950184359004,1.1999346127890433,5e-06,100.0
bacteria,1000.0,0.007585775750291836,Fin,6.993569203624605e-12,4.6096598646193525e-12,0.02,5e-06,100.0
bacteria,1000.0,0.007585775750291836,Flagella,0.00011906145664365703,7.847678376142121e-05,1.1999581266239103,5e-06,100.0
bacteria,1000.0,0.01148153621496883,Fin,5.2299446749654326e-12,2.27754569468979e-12,0.02,5e-06,100.0
bacteria,1000.0,0.01148153621496883,Flagella,0.0001358248803017697,5.9149262676492136e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.017378008287493744,Fin,5.2299446749654326e-12,1.504759518019454e-12,0.02,5e-06,100.0
bacteria,1000.0,0.017378008287493744,Flagella,0.00020557927539824488,5.914926267649212e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.026302679918953815,Fin,5.2299446749654326e-12,9.94184754382521e-13,0.02,5e-06,100.0
bacteria,1000.0,0.026302679918953815,Flagella,0.0003111568247243788,5.9149262676492136e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.03981071705534969,Fin,5.2299446749654326e-12,6.568513533295732e-13,0.02,5e-06,100.0
bacteria,1000.0,0.03981071705534969,Flagella,0.0004709549120892767,5.9149262676492115e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.060255958607435746,Fin,5.2299446749654326e-12,4.339773854597713e-13,0.02,5e-06,100.0
bacteria,1000.0,0.060255958607435746,Flagella,0.0007128191046990115,5.914926267649219e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.09120108393559097,Fin,5.2299446749654326e-12,2.867260151567377e-13,0.02,5e-06,100.0
bacteria,1000.0,0.09120108393559097,Flagella,0.001078895374017415,5.914926267649211e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.13803842646028838,Fin,5.2299446749654326e-12,1.894379995873834e-13,0.02,5e-06,100.0
bacteria,1000.0,0.13803842646028838,Flagella,0.0016329742292298427,5.914926267649196e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.2089296130854041,Fin,5.2299446749654326e-12,1.2516044513104972e-13,0.02,5e-06,100.0
bacteria,1000.0,0.2089296130854041,Flagella,0.00247160651305728,5.914926267649198e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.31622776601683794,Fin,5.2299446749654326e-12,8.269268604779882e-14,0.02,5e-06,100.0
bacteria,1000.0,0.31622776601683794,Flagella,0.003740927839546033,5.914926267649191e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.47863009232263803,Fin,5.2299446749654326e-12,5.4634515869929866e-14,0.02,5e-06,100.0
bacteria,1000.0,0.47863009232263803,Flagella,0.005662123411133063,5.9149262676491966e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,0.7244359600749891,Fin,5.2299446749654326e-12,3.6096666670329713e-14,0.02,5e-06,100.0
bacteria,1000.0,0.7244359600749891,Flagella,0.008569970578954445,5.9149262676492034e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,1.096478196143185,Fin,5.2299446749654326e-12,2.3848831164000973e-14,0.02,5e-06,100.0
bacteria,1000.0,1.096478196143185,Flagella,0.012971175368543902,5.914926267649213e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,1.6595869074375598,Fin,5.2299446749654326e-12,1.5756766492694822e-14,0.02,5e-06,100.0
bacteria,1000.0,1.6595869074375598,Flagella,0.019632668384498234,5.9149262676491966e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,2.511886431509577,Fin,5.2299446749654326e-12,1.0410392383509104e-14,0.02,5e-06,100.0
bacteria,1000.0,2.511886431509577,Flagella,0.029715246070175207,5.914926267649198e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,3.801893963205613,Fin,5.2299446749654326e-12,6.878078038972636e-15,0.02,5e-06,100.0
bacteria,1000.0,3.801893963205613,Flagella,0.044975844939563615,5.914926267649202e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,5.754399373371567,Fin,5.2299446749654326e-12,4.544301095234158e-15,0.02,5e-06,100.0
bacteria,1000.0,5.754399373371567,Flagella,0.06807369601619936,5.914926267649218e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,8.709635899560796,Fin,5.2299446749654326e-12,3.002389959394953e-15,0.02,5e-06,100.0
bacteria,1000.0,8.709635899560796,Flagella,0.10303370832794519,5.914926267649197e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,13.182567385564074,Fin,5.2299446749654326e-12,1.983659374536035e-15,0.02,5e-06,100.0
bacteria,1000.0,13.182567385564074,Flagella,0.15594782820785727,5.914926267649204e-05,1.1999691949147522,5e-06,100.0
bacteria,1000.0,19.952623149688797,Fin,5.2299446749654326e-12,1.3105907518348044e-15,0.02,5e-06,100.0
bacteria,1000.0,19.952623149688797,Flagella,0.23603658955319926,5.914926267649193e-05,1.1999691949147522,5e-06,100.0
bacteria,1400.0,1e-05,Fin,5.990388811944048e-09,4.1932721683608335e-06,0.02,5e-06,100.0
bacteria,1400.0,1e-05,Flagella,5.62227328085381e-05,0.03935591296597667,1.165248773667945,5e-06,100.0
bacteria,1400.0,1.5135612484362071e-05,Fin,4.496243098113219e-09,2.0794468489009467e-06,0.02,5e-06,100.0
bacteria,1400.0,1.5135612484362071e-05,Flagella,5.844730314508518e-05,0.027031025169170095,1.1766617653419367,5e-06,100.0
bacteria,1400.0,2.290867652767775e-05,Fin,3.1650360383911633e-09,9.67111838257905e-07,0.02,5e-06,100.0
bacteria,1400.0,2.290867652767775e-05,Flagella,5.920885022427435e-05,0.018091920372142706,1.1848038188642949,5e-06,100.0
