velocity,reynolds,efficiency,thrust,drag,power,L,freq,rho,mu,propulsion,scale,environment
2.1512076432898658e-11,1.6418209989211708e-08,0.02,2.500000000000002e-20,6.635593922083658e-21,5.378019108224669e-31,5e-06,10.0,1000.0,6.5512855685955095e-06,Fin,bacteria,
0.27500835071924523,4197776.87661084,0.9999997750861962,0.19999995499367315,0.13055423530013188,0.055001657766733325,0.1,10.0,1000.0,6.5512855685955095e-06,Fin,fish,
3.1083678048918807e-06,0.0023723342329880033,1.198306826546837,3.699442092801772e-15,1.1861321417551954e-15,1.1499226697326868e-20,5e-06,10.0,1000.0,6.5512855685955095e-06,Flagella,bacteria,
5.151977901615497e-07,7.864071635515652,0.1155506511843757,1.4276627016149326e-07,8.41776028138517e-12,7.355286689680812e-14,0.1,10.0,1000.0,6.5512855685955095e-06,Flagella,fish,
2.0139013602908464e-11,1.0553982333064115e-08,0.02,2.500000000000002e-20,9.04747666970069e-21,5.03475340072712e-31,5e-06,10.0,1000.0,9.540954763499944e-06,Fin,bacteria,
0.27500642865434816,2882378.498495957,0.9999996617152572,0.1999999323076057,0.13055318216239128,0.05500126711502603,0.1,10.0,1000.0,9.540954763499944e-06,Fin,fish,
4.201940035485252e-06,0.0022020542700612483,1.1984381913729893,5.388266401462606e-15,2.303240310129314e-15,2.264117231416577e-20,5e-06,10.0,1000.0,9.540954763499944e-06,Flagella,bacteria,
7.503025299751277e-07,7.864019362564208,0.11555140481235424,2.0791879467786116e-07,1.7853517127317206e-11,1.5600199767617835e-13,0.1,10.0,1000.0,9.540954763499944e-06,Flagella,fish,
1.8347920915851716e-11,6.602367906248335e-09,0.02,2.500000000000002e-20,1.200543030326049e-20,4.586980228962933e-31,5e-06,10.0,1000.0,1.3894954943731361e-05,Fin,bacteria,
0.27500360774794463,1979161.5651982457,0.9999994911963392,0.19999989818595323,0.1305516277724092,0.05500069355035875,0.1,10.0,1000.0,1.3894954943731361e-05,Fin,fish,
5.51941551750223e-06,0.0019861221356432994,1.1986035583310855,7.848274549225272e-15,4.328596830294639e-15,4.3317888332611783e-20,5e-06,10.0,1000.0,1.3894954943731361e-05,Flagella,bacteria,
1.0926913694522066e-06,7.863943236067628,0.11555250235774055,3.0280509288011544e-07,3.7866003612932815e-11,3.30872511616276e-13,0.1,10.0,1000.0,1.3894954943731361e-05,Flagella,fish,
1.61185366564788e-11,3.982659398015469e-09,0.02,2.500000000000002e-20,1.5361357114388572e-20,4.029634164119704e-31,5e-06,10.0,1000.0,2.0235896477251556e-05,Fin,bacteria,
0.27499949819063707,1358968.6945660221,0.9999992347202596,0.19999984686385885,0.13054936277974385,0.054999857525765444,0.1,10.0,1000.0,2.0235896477251556e-05,Fin,fish,
6.9870686011531125e-06,0.0017264045131402297,1.1988004660206226,1.1431697615867332e-14,7.808453602381515e-15,7.987405546970353e-20,5e-06,10.0,1000.0,2.0235896477251556e-05,Flagella,bacteria,
