sweep,scenario,propulsion,rho,mu,L,freq,speed,Re
mu,bacteria,Fin,1000.0,0.11236548001387515,5e-06,100.0,4.729550084903167e-13,2.1045387268043314e-14
mu,bacteria,Fin,1000.0,0.13779723598335566,5e-06,100.0,3.850253449400043e-13,1.3970720899892032e-14
mu,bacteria,Fin,1000.0,0.16898497868124587,5e-06,100.0,3.1308289294429414e-13,9.263630867890876e-15
mu,bacteria,Fin,1000.0,0.20723146452190294,5e-06,100.0,2.5712765250318625e-13,6.2038757747622256e-15
mu,bacteria,Fin,1000.0,0.2541343036702639,5e-06,100.0,2.091660178393795e-13,4.115265330546832e-15
mu,bacteria,Fin,1000.0,0.311652694492943,5e-06,100.0,1.6919798895287386e-13,2.7145279335408593e-15
mu,bacteria,Fin,1000.0,0.3821892620633123,5e-06,100.0,1.3988810110276972e-13,1.830089369172234e-15
mu,bacteria,Fin,1000.0,0.46869041923141924,5e-06,100.0,1.1324274851176597e-13,1.208076204090824e-15
mu,bacteria,Fin,1000.0,0.5747694424835347,5e-06,100.0,9.192646643896296e-14,7.996812255863479e-16
mu,bacteria,Fin,1000.0,0.7048574036451903,5e-06,100.0,7.593925488436071e-14,5.386852325849078e-16
mu,bacteria,Fin,1000.0,0.8643882620598261,5e-06,100.0,6.261657858885883e-14,3.62201694176436e-16
mu,bacteria,Fin,1000.0,1.0600258488068823,5e-06,100.0,4.929390229335695e-14,2.325127370659874e-16
mu,bacteria,Fin,1000.0,1.2999422244132448,5e-06,100.0,4.1300296516055823e-14,1.5885435421830978e-16
mu,bacteria,Fin,1000.0,1.5941590374559995,5e-06,100.0,3.3306690738754696e-14,1.0446476780606026e-16
mu,bacteria,Fin,1000.0,1.9549661430912595,5e-06,100.0,2.7977620220553945e-14,7.15552551112593e-17
mu,bacteria,Fin,1000.0,2.3974349678010785,5e-06,100.0,2.2648549702353193e-14,4.723496154543535e-17
mu,bacteria,Fin,1000.0,2.940048064334708,5e-06,100.0,1.7319479184152442e-14,2.9454415038741215e-17
mu,bacteria,Fin,1000.0,3.605471154250506,5e-06,100.0,1.4654943925052066e-14,2.0323202291849275e-17
mu,bacteria,Fin,1000.0,4.4214999073744865,5e-06,100.0,1.199040866595169e-14,1.3559209450568178e-17
mu,bacteria,Fin,1000.0,5.422221006501592,5e-06,100.0,9.325873406851315e-15,8.5996802746227e-18
mu,bacteria,Fin,1000.0,6.649435996665045,5e-06,100.0,6.661338147750939e-15,5.0089497448293846e-18
mu,bacteria,Fin,1000.0,8.15440739518517,5e-06,100.0,6.661338147750939e-15,4.084501684134752e-18
mu,bacteria,Fin,1000.0,10.0,5e-06,100.0,3.9968028886505635e-15,1.998401444325282e-18
mu,bacteria,Flagella,1000.0,1e-06,5e-06,100.0,4.924671830996985e-05,0.24623359154984928
mu,bacteria,Flagella,1000.0,1.226330684177562e-06,5e-06,100.0,5.080495274212282e-05,0.20714214117619972
mu,bacteria,Flagella,1000.0,1.5038869469554102e-06,5e-06,100.0,5.2202841797299726e-05,0.17355972768758773
